Frame,Status,BestRef,Inliers,Matches,InlierRatio,ProjCx,ProjCy,Latitude,Longitude
45,OK,frame_0045.tif,5,15,0.3333333333333333,751.9651730431585,625.2153047165328,31.985247954362595,118.8908241198507
46,OK,frame_0045.tif,5,16,0.3125,584.1625802264772,697.2657509709908,31.985089435266275,118.89033966835382
47,FAIL,frame_0045.tif,8,48,0.16666666666666666,,,,
48,FAIL,frame_0045.tif,5,28,0.17857142857142858,,,,
49,OK,frame_0045.tif,5,16,0.3125,718.3536800445936,469.9339624853642,31.98558959080381,118.89072708238649
50,OK,frame_0045.tif,5,25,0.2,615.6893928250496,565.5770763634689,31.98537916518163,118.8904306872785
51,OK,frame_0042.tif,6,18,0.3333333333333333,698.195868492664,600.0841807202786,31.98530861008377,118.89065279288039
52,OK,frame_0041.tif,5,21,0.23809523809523808,703.7642626812333,626.413972005869,31.985250681577593,118.89066350459595
53,OK,frame_0047.tif,6,22,0.2727272727272727,519.292934310347,647.1603485137911,31.98519430837669,118.89016311643016
54,OK,frame_0045.tif,6,23,0.2608695652173913,567.3951650589231,717.0094446440218,31.985045996916597,118.89029126028551
55,OK,frame_0047.tif,6,22,0.2727272727272727,592.6538730437733,718.7089749038151,31.985036893340588,118.89037491182607
56,OK,frame_0047.tif,7,31,0.22580645161290322,682.4615460558191,550.5648896135768,31.985406829265173,118.89063418947426
57,OK,frame_0045.tif,5,18,0.2777777777777778,899.9426791540391,325.62769083876077,31.985907080853682,118.89125133568294
58,OK,frame_0047.tif,6,29,0.20689655172413793,569.4164412071234,707.0294298415371,31.985062589655115,118.89030782461099
59,OK,frame_0047.tif,9,41,0.21951219512195122,594.7802411662908,709.356126245914,31.985057470660983,118.89038105071943
60,OK,frame_0047.tif,5,16,0.3125,721.5989906872209,591.3491234495581,31.985317099357477,118.89074718053904
